net,length_um
net11,53.24
_044_,51.31
net9,49.56
_035_,47.59
_057_,41.42
_060_,40.62
_036_,33.94
_056_,32.64
_041_,32.22
_090_,31.72
_108_,28.82
clknet_0_clk,28.7
_045_,27.78
_091_,27.44
_061_,27.06
_065_,26.7
_050_,25.8
_008_,24.65
_051_,24.44
_037_,23.9
_007_,23.43
_071_,23.34
_039_,22.22
_047_,20.92
net2,19.02
net6,18.58
_032_,18.48
_070_,18.4
_005_,18.16
_002_,17.92
clknet_1_0__leaf_clk,17.86
_010_,15.64
_093_,15.62
_077_,14.76
clknet_1_1__leaf_clk,14.46
result[2],14.17
_034_,14.02
_073_,13.82
_027_,13.44
_064_,13.06
_092_,12.99
_055_,12.84
_105_,12.5
_068_,12.44
_080_,12.4
_114_,11.965
_101_,11.8
_106_,11.5
_084_,11.26
_095_,11.26
net4,11.22
_088_,11.04
_116_,10.935
net12,10.46
result[1],10.43
_081_,10.26
_052_,10.24
net7,10.14
_019_,9.86
_075_,9.54
_025_,9.44
net10,9.32
net5,9.26
zero,9.21
net3,9.12
_033_,9.02
net15,8.98
result[0],8.73
control[2],8.61
_054_,8.6
carry_out,8.53
_012_,8.06
result[3],8.05
_009_,7.7
net8,7.66
a[1],7.6
b[0],7.6
clk,7.47
control[0],7.47
b[1],7.14
_067_,6.86
b[2],6.79
_026_,6.72
net1,6.72
a[0],6.68
_109_,6.66
_048_,6.64
_112_,6.6
net14,6.6
_046_,6.5
a[2],6.45
_018_,6.32
_096_,6.3
control[1],6.24
_115_,6.225
_111_,6.08
a[3],5.78
_014_,5.72
_028_,5.72
_006_,5.6
_015_,5.6
_053_,5.6
_113_,5.565
_059_,5.52
net13,5.38
net16,5.38
_001_,5.345
b[3],5.32
_094_,5.16
_087_,5.02
_110_,4.9
_017_,4.8
_020_,4.56
_086_,4.54
_066_,4.46
_104_,4.46
_029_,4.36
_089_,4.36
_107_,4.34
_078_,4
_076_,3.88
_011_,3.56
_099_,3.54
_103_,3.54
net17,3.54
_058_,3.42
_069_,3.22
_023_,2.98
_013_,2.96
_024_,2.76
_031_,2.76
_040_,2.64
_072_,2.62
_000_,2.585
_016_,2.5
_022_,2.18
_049_,2.18
_043_,2.16
_085_,2.16
_021_,2.04
_082_,2.04
_062_,1.84
_098_,1.82
_079_,1.72
_102_,1.72
_042_,1.6
_100_,1.6
_003_,1.26
_030_,1.26
_038_,1.26
_074_,1.26
_097_,1.26
_004_,0.92
_063_,0.92
_083_,0.92
net18,0.46
